# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359751,314,10,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359751,473,11,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359751,649,12,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00
359751,858,13,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359762,1,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359762,18,18,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359762,32,14,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
359762,33,18,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359762,34,12,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00
359762,38,14,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
359762,40,12,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00
359762,42,13,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
359762,46,12,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00
359762,79,11,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359762,87,10,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359762,101,9,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359762,105,8,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00
359762,115,6,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
359762,125,4,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00
359762,151,6,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
359762,251,8,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359763,1,8,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00
359763,47,9,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359763,63,11,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359763,65,9,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359763,118,10,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359763,121,9,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359763,223,10,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359763,320,11,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359763,369,13,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
359763,371,11,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359763,446,12,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359764,1,12,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00
359764,192,13,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
359764,200,12,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00
359764,272,13,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
359764,691,14,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
359764,814,15,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359776,1,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359776,107,18,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359806,1,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359806,32,11,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359806,74,10,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359806,80,9,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359806,86,8,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00
359806,104,6,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
359806,113,5,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
359806,138,6,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
359806,205,5,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
359806,236,6,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
359806,395,8,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359808,1,8,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359809,1,8,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359810,1,8,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00
359810,23,9,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359812,1,9,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359812,9,10,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359812,158,11,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359814,1,11,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359814,64,12,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00
359814,304,13,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359870,1,8,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00
359870,4,7,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359870,9,6,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359871,1,6,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
359871,2,5,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
359871,36,4,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00
359871,57,5,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
359871,113,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359871,157,2,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359871,185,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359887,1,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359887,95,18,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359899,1,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359899,7,18,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359903,1,18,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359998,1,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359998,13,18,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359998,38,17,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
359998,45,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359998,182,6,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00 L1_SingleJet200/1.00
359998,198,5,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet180/1.00
359998,225,3,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00 L1_SingleJet180/1.00
359998,240,4,128.00,HLT_PFJet260_v22/128,OR,L1_SingleJet180/1.00 L1_SingleJet160er2p5/0.00 L1_SingleJet200/1.00
