# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357079,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357080,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357081,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357101,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357102,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357104,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357106,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357112,1,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357112,197,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357268,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357271,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357271,45,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357271,201,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357271,264,6,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357271,551,7,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357271,641,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357271,778,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357271,1074,10,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357271,1247,7,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357271,1271,10,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357328,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357329,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357329,34,1,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357329,66,16,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357329,403,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357329,616,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
